Group,Calandrinia,Molluginaceae,Monteae,Montiaceae,NWCalandrinia,Outgroup,Phemeranthus,Portulacineae,Total_Sequences_in_All_Groups,Number_of_Groups_with_Sequences
10951og_1,0,0,0,0,0,2,0,0,2,1
10951og_2,58,1,4,8,7,8,1,7,94,8
13658_2,1,0,0,0,0,0,0,0,1,1
13658_3,1,0,0,0,0,0,0,0,1,1
13658_4,2,0,0,0,0,0,0,0,2,1
15299b,1,0,0,0,0,0,0,0,1,1
15299b_1,1,0,0,0,0,0,0,0,1,1
1537,0,0,0,0,2,0,0,0,2,1
1537_1,2,0,0,0,0,0,0,0,2,1
16142_1,0,0,1,0,0,0,0,0,1,1
16157_1,0,0,0,0,0,0,2,0,2,1
16321_1_1,2,0,0,0,0,0,0,0,2,1
16321_1_2_1,2,0,0,0,0,0,0,0,2,1
16321_1_2_2,1,0,0,0,0,0,0,0,1,1
18627_1,0,0,2,0,0,0,0,0,2,1
19342_1,0,2,0,0,0,0,0,0,2,1
19417,1,0,0,0,0,0,0,0,1,1
19448og_1,0,0,0,0,0,2,0,0,2,1
19448og_2,67,2,5,8,9,10,2,7,110,8
22334og,1,0,0,0,1,0,0,0,2,2
24195_1,2,0,0,0,0,0,0,0,2,1
24434_1,0,0,0,2,0,0,0,0,2,1
24434_3,0,0,2,0,0,0,0,0,2,1
24434_4_1_2,2,0,0,0,0,0,0,0,2,1
24434_4_2,2,0,0,0,0,0,0,0,2,1
24434_5,2,0,0,0,0,0,0,0,2,1
24434_7,1,0,0,0,0,0,0,0,1,1
24434_8,2,0,0,0,0,0,0,0,2,1
2917_2,2,0,0,0,0,0,0,0,2,1
2917_5,2,0,0,0,0,0,0,0,2,1
2917_6,7,0,0,0,0,0,0,0,7,1
2917_7_1,4,0,0,0,0,0,0,0,4,1
3000og_1,0,0,0,0,0,1,0,0,1,1
4237a,0,0,0,0,2,0,0,0,2,1
4237a_2,0,0,0,0,2,0,0,0,2,1
441og1_1,0,0,0,0,0,2,0,0,2,1
6043b,0,0,0,0,2,0,0,0,2,1
6043b_1,0,0,0,0,2,0,0,0,2,1
7482_1,0,0,0,1,0,0,0,0,1,1
8489_1,1,0,0,0,0,0,0,0,1,1
Ambig_apl3_none_1,1,0,0,0,0,0,0,0,1,1
Ambig_apl3_none_2,1,0,0,0,0,0,0,0,1,1
Ambig_apl4_none_2,0,0,0,2,0,0,0,0,2,1
Ambig_apl4_none_3,1,0,0,0,0,0,0,0,1,1
Ambig_asp2_none_1,68,2,7,7,9,11,4,7,115,8
Ambig_dit1_none_1,1,0,0,0,0,0,0,0,1,1
Ambig_nGroup_10860_none_2,2,0,0,0,0,0,0,0,2,1
Ambig_nGroup_12443_none_1,0,0,0,1,0,0,0,0,1,1
Ambig_nGroup_12443_none_3,1,0,0,0,0,0,0,0,1,1
Ambig_nGroup_15299_3_1,2,0,0,0,0,0,0,0,2,1
Ambig_nGroup_15299_3_2,2,0,0,0,0,0,0,0,2,1
Ambig_nGroup_15299_none_1,1,0,0,0,0,0,0,0,1,1
Ambig_nGroup_15299_none_2,1,0,0,0,0,0,0,0,1,1
Ambig_nGroup_1537_none_1,0,0,0,1,0,0,0,0,1,1
Ambig_nGroup_16142_16142_16142og_1,2,0,0,0,0,0,0,0,2,1
