IndName	40i_loci.txt	62i_loci.txt	98i_loci.txt	g2_loci.txt	g4_loci.txt	g7_loci.txt
Alluaudia_procera_53	132	124	71	164	153	109
Amaranthus_hypochondriacus_tr	60	60	52	62	62	60
Anacampseros_coahuilensis_68	89	86	49	146	106	77
Anredera_baselloides_38	127	123	72	138	136	108
Arabidopsis_thaliana_cds	84	84	63	84	84	83
Beta_vulgaris_cds	82	82	61	84	84	82
Boerhavia_coccinea_tr	60	60	47	61	61	59
Calandrinia_affious_145	116	107	64	133	130	91
Calandrinia_arenicola_90	131	123	70	136	134	98
Calandrinia_baccata_38	111	106	64	112	111	90
Calandrinia_baccata_46	15	15	12	15	15	14
Calandrinia_balonensis_57	150	133	71	161	157	104
Calandrinia_brevipedata_9	143	130	72	152	149	105
Calandrinia_butcherensis_58	140	129	72	143	141	106
Calandrinia_calyptrata_185	150	137	73	153	151	110
Calandrinia_calyptrata_188	94	87	57	94	92	76
Calandrinia_ciliata_2014	124	112	62	169	153	89
Calandrinia_ciliata_215	129	115	63	169	159	93
Calandrinia_ciliata_216	132	119	66	176	162	99
Calandrinia_colchagensis_146	119	109	65	135	131	90
Calandrinia_compressa_144	132	118	66	154	150	98
Calandrinia_corrigioloides_49C	83	78	47	87	85	62
Calandrinia_corrigioloides_98	155	137	73	164	159	110
Calandrinia_creethae_39	100	90	54	108	105	77
Calandrinia_crispisepala_21	121	110	70	125	121	93
Calandrinia_disperma_194	139	129	70	150	147	105
Calandrinia_disperma_22	146	132	72	156	151	107
Calandrinia_eremaea_perennial_7	152	138	74	158	152	110
Calandrinia_eremaea_ss_33	147	134	72	152	148	106
Calandrinia_eremea_nonpapillate_139	138	125	72	142	138	102
Calandrinia_eremea_salt_flat_130	118	112	71	122	120	95
Calandrinia_flava_79	140	129	74	147	142	107
Calandrinia_gracilis_176	144	131	74	169	158	108
Calandrinia_granulifera_50D	144	130	70	170	161	105
Calandrinia_hortiorum_191	136	127	73	141	139	103
Calandrinia_kalanniensis_8	119	109	65	122	119	88
Calandrinia_lehmannii_35	79	76	47	82	79	61
Calandrinia_linliflora_109	127	119	69	133	131	94
Calandrinia_mirabilis_85	150	134	72	157	154	106
Calandrinia_monandra_143	116	104	62	133	129	91
Calandrinia_operata_32	127	121	72	132	130	98
Calandrinia_oraria_37	134	127	74	138	136	110
Calandrinia_painwaning_6	133	120	71	136	133	96
Calandrinia_papillata_30	86	83	56	89	87	69
Calandrinia_pentavalvis_178	125	116	69	128	126	92
Calandrinia_pickeringii_165	163	141	74	196	186	114
Calandrinia_pleiopetala_74	142	130	71	146	144	105
Calandrinia_polyandra_138	123	118	70	125	123	101
Calandrinia_polyandra_34C	114	110	68	119	116	97
Calandrinia_polypetala_152	129	121	68	132	131	99
