Locus,Mean_Length,Num_Inds,Num_Groups,40i_loci.txt,62i_loci.txt,98i_loci.txt,g2_loci.txt,g4_loci.txt,g7_loci.txt,Calandrinia,Calandrinia1,Calandrinia2,Calandrinia3,Calandrinia4,Calandrinia5,Calandrinia6,Molluginaceae,Monteae,Montiaceae,NWCalandrinia,Outgroup,Phemeranthus,Portulacineae
10951og_2,1128.53,88,14,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
13658_2,334.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
13658_3,758.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
13658_4,518.00,2,1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
15299b,286.00,1,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
15299b_1,328.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
1537,294.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
1537_1,361.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
16142_1,179.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
16157_1,641.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
16321_1_1,174.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
16321_1_2_1,174.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
16321_1_2_2,174.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
18627_1,328.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
19342_1,574.00,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
19417,526.00,1,1,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
19448og_2,542.60,104,14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
22334og,272.00,2,2,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no
24195_1,1083.50,2,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
24434_1,329.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
24434_3,381.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
24434_4_1_2,281.00,2,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
24434_4_2,289.00,2,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
24434_5,331.50,2,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
24434_7,186.00,1,1,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
24434_8,299.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
2917_2,612.00,2,2,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
2917_5,612.00,2,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
2917_6,523.86,7,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
2917_7_1,554.75,4,1,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
4237a,764.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
4237a_2,674.50,2,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
