Locus	Paralog_Name	Nested_Paralogs
nGroup_18890	nGroup_18890_1_2	nGroup_18890_1_2
nGroup_18890	Ambig_nGroup_18890_none_2	Ambig_nGroup_18890_none_2
nGroup_18890	nGroup_18890_3	nGroup_18890_3
nGroup_18890	nGroup_18890_2	nGroup_18890,nGroup_18890_4,nGroup_18890_2,Ambig_nGroup_18890_none_1
nGroup_18890	nGroup_18890_1_1_1	nGroup_18890_1_1_1
nGroup_18890	nGroup_18890_1_1_2	nGroup_18890_1_1_2
nGroup_24488	nGroup_24488_2	nGroup_24488,nGroup_24488_2,24488
nGroup_24488	nGroup_24488_1	nGroup_24488_1
nGroup_24488	Ambig_nGroup_24488_none	Ambig_nGroup_24488_none
apl1	apl1_1	apl1_1
apl1	apl1_2	apl1,apl1_2,apl1_4
apl1	apl1_3	apl1_3
dit2	dit2_1	dit2_1_2,dit2_1,dit2_1_2_1
dit2	dit2_8	dit2_8
dit2	dit2_2	dit2,dit2_10,dit2_6,dit2_7,dit2_2,dit2_3
dit2	dit2_1_2_2	dit2_1_2_2
dit2	dit2_9	dit2_9
dit2	dit2_5_2	dit2_5_2
dit2	dit2_5_1_1	dit2_5_1_1
dit2	dit2_5_1_2	dit2_5_1_2
dit2	dit2_1_1	dit2_1_1
dit2	dit2_4	dit2_4
nadmdh	nadmdh_1_1_2_3_1_1	nadmdh_1_1_2_3_1_1
nadmdh	nadmdh_1_1_2_3_1	nadmdh_1_1_2_3_1_2_3_1,nadmdh_1_1_2_3_1_2,nadmdh_1_1_2_3_1,nadmdh_1_1_2_3_1_2_1_1_2
nadmdh	nadmdh_1_1_2_4	nadmdh_1_1_2_4
nadmdh	nadmdh_1_1_2_2	nadmdh_1_1_2_2
nadmdh	nadmdh_1_1_1_2_2	nadmdh_1_1_1_2_2
nadmdh	nadmdh_1_1_1_2_3_2	nadmdh_1_1_1_2_3_2
nadmdh	nadmdh_1_1_1_2_3_1	nadmdh_1_1_1_2_3_1
nadmdh	nadmdh_1_2_3_1_4	nadmdh_1_2_3_1_4
nadmdh	nadmdh_1_2_3_1_3_1	nadmdh_1_2_3_1_3_1
nadmdh	nadmdh_1_1_2_3_2_3_1_1	nadmdh_1_1_2_3_2_3_1_1
nadmdh	nadmdh_1_1_2_3_2_3_1_2	nadmdh_1_1_2_3_2_3_1_2
nadmdh	nadmdh_1_1_2_3_2_4	nadmdh_1_1_2_3_2_4
nadmdh	nadmdh_1_1_1_1_1_1_2	nadmdh_1_1_1_1_1_1_2
nadmdh	nadmdh_1_2_3_2_1_2	nadmdh_1_2_3_2_1_2
nadmdh	nadmdh_1_2_3_2_1	nadmdh_1_2_3_2_1_1,nadmdh_1_2_3_2_1
